,Height Range(CM),Weight Range(Kg),Distance(Km),Avg Speed(Km/h),Total Ascent(m),Avg Grade(%),Wh/km,Power Assistance Level,Wind speed(Km/h),Wind Direction,Weather,Precipitation(mm),Temperature(° C)
35,171.45448,57.5,3.727136516,13.31039422,27,2.123770988,6.864274253,2,27.86502359,WSW,Clear,0.216971555,13.43444749
36,175.6470806,60.66095039,4.27565518,12.34532589,27,1.93142952,23.04850876,2,33.29350802,SSE,Cloudy,0.347338788,16.1052749
37,173.0710771,58.52563728,2.473651333,15.54241027,8,1.897896902,16.36717483,2,6.1,S,Overcast,0,9.4
38,169.9,57.5,3.285510887,20.22218804,17,2.095552769,15.06609294,5,10.42786519,S,Cloudy,0.023233767,10.88584624
39,169.9,57.5,2.371811505,17.30953003,12,1.807285241,1.81,3,8.510479659,S,Patchy rain possible,0,9.4
40,172.2991134,57.5,0.773992513,15.60780502,6,1.877851162,7.305370991,3,6.326150803,S,Cloudy,0,9.405154448
41,171.4944576,57.5,2.553078962,20.45315169,10,1.598334945,4.112077638,5,27.39208364,WSW,Clear,0.281160657,15.18839039
42,173.6015697,69.1490485,4.485636344,18.5945937,31,2.126283193,16.76716067,3,9.673778844,S,Light drizzle,0.205374377,10.197431
43,177.5207439,79.44274959,3.587580005,16.18204859,31,1.99040402,8.733702169,4,19.9368334,S,Clear,0.263877283,14.88476018
44,174.2074658,67.04884431,0.338641713,12.01952671,0,1.5,6.450966954,2,13.13840433,S,Patchy rain possible,0,11.1029511
45,171.3790858,65.59247613,3.396111971,14.45027948,18,1.980710287,11.64879746,2,10.11911606,S,Patchy rain possible,0.032000053,9.4
46,174.2236357,73.08741223,4.104193969,17.94681676,13,1.668571416,14.25320561,4,14.2461626,S,Light drizzle,0.264976734,12.06329528
47,171.9580802,57.5,3.769658398,18.43085704,25,1.902198905,17.37831244,5,24.48247331,S,Light drizzle,0.586242584,14.98885398
48,174.6677687,67.99950025,2.48894579,18.35365689,8,1.860934156,14.23542731,5,15.52382876,S,Clear,0.229675551,12.94748158
49,175.5091898,69.33680601,2.962567063,19.25358532,19,2.123594182,23.71126708,5,36.800666,WSW,Light drizzle,0.371079731,16.9
50,172.7125035,69.17143136,0.917854823,10.9,0,1.5,16.93245603,1,6.1,S,Light drizzle,0,9.4
51,169.9,57.5,3.192140538,14.67469771,22,2.163552685,23.16177054,2,17.8107798,S,Clear,0.049399455,10.22778808
52,170.0497025,57.5,0.71749528,18.94778306,1,1.974443893,24.88140637,4,23.9854099,S,Cloudy,0.001193354,14.50463768
53,173.1922397,57.5,4.080419007,18.63324766,24,2.060964487,13.06840804,3,17.15449754,S,Patchy rain possible,0.32469823,11.7333036
54,173.6832184,58.64290235,4.288353884,16.61117476,26,1.846310899,22.56999876,5,23.58323752,W,Patchy rain possible,0.498473994,15.6662376
55,169.9,57.5,2.642743698,15.24595262,12,1.868742289,9.095853058,3,10.71893652,S,Cloudy,0,10.28734965
56,173.2291011,71.75826146,4.859660406,14.04762429,29,1.872406453,6.312114138,2,14.64607909,WSW,Clear,0.207275486,9.4
57,175.5729887,60.51592365,5.27783145,19.61092493,38,2.3,22.18186279,5,23.88917843,WSW,Clear,0.461372772,15.77052811
58,175.0849041,63.08917663,2.655191882,10.9,17,1.980337679,16.34443987,1,10.00350206,WSW,Cloudy,0.01882734,11.19450407
59,173.6765677,62.57424227,2.901440871,15.43626172,11,1.676419016,17.59261402,2,17.31092902,S,Patchy rain possible,0.605608182,12.94242357
60,174.7370682,67.43256489,3.052203908,16.38314201,23,1.993841736,29.04991907,4,31.0548619,SSE,Clear,0.48493513,15.74119729
61,171.4862788,57.5,3.377055873,15.50193579,29,2.147900776,14.52695414,3,17.9131079,WSW,Overcast,0,12.08085727
62,174.0260302,57.88129839,2.300911384,20.2909218,19,2.214571856,8.366515218,4,29.83760107,WSW,Cloudy,0.143886894,14.57532401
63,174.9747695,72.2457041,2.973958574,17.90264227,16,1.726762064,1.81,3,16.60961932,S,Cloudy,0,10.44645453
64,172.6906521,62.33483269,2.793186109,17.75590011,19,1.912171311,1.81,3,28.62368862,S,Overcast,0,15.11238869
65,172.6447508,57.5,2.884730421,13.73376932,23,2.15359109,22.06866289,2,39.2,SSE,Overcast,0.311281619,14.90363915
66,174.2608707,69.87949101,3.364980748,16.73288601,21,1.819848554,9.701091743,5,17.96866129,S,Clear,0,13.80518248
67,171.2610088,57.5,2.574945391,17.36406194,7,1.856667076,17.31834576,5,29.23389526,SSE,Overcast,0.021027096,14.70546798
68,173.9507804,63.5760299,4.335460492,18.43945216,30,2.292822589,30.57086013,4,26.55042532,WSW,Cloudy,0.385805695,14.32020562
69,175.3632241,57.5,2.484955037,16.48743811,17,1.948279648,12.62909234,4,15.2198694,WSW,Clear,0.08604244,13.74813675
70,172.9900583,57.5,0.3,13.20475833,0,1.5,22.90783343,1,6.1,S,Patchy rain possible,0.280258117,9.4
71,173.3893402,60.62018473,4.65686955,16.28284417,27,1.826268332,3.818374882,4,34.5453318,WSW,Cloudy,0.127972251,14.6044451
72,174.8671385,72.62775458,3.040591311,11.75281261,19,1.807062199,27.41192447,3,33.2595529,WSW,Clear,0.296653782,15.30830729
73,170.1984987,58.14949112,0.3,17.59431463,7,2.064462059,2.428240301,3,19.34222082,S,Partly cloudy,0,11.16325759
74,172.2320209,57.5,0.3,16.04869627,0,1.786474437,11.90947375,4,13.77463764,WSW,Overcast,0,12.19024067
75,175.0829791,70.97917581,0.3,11.21501517,0,1.59124571,6.683370751,1,26.91631128,WSW,Cloudy,0,13.16131505
76,174.0736124,69.01800791,3.334933317,13.26441518,18,1.920281413,10.94512684,1,23.3730339,S,Cloudy,0.165600577,10.82764016
77,173.7464866,59.97098074,5.027760975,19.44875452,33,2.3,15.06827636,4,39.2,WSW,Cloudy,0.420102115,16.9
78,173.8412521,72.0247213,3.690624177,17.60615972,24,1.972496166,19.3221593,4,21.37410645,WSW,Clear,0.313154049,13.33961773
79,177.1225464,68.03151079,3.131997539,16.13443963,22,1.748713201,1.81,4,17.08563376,W,Cloudy,0.00613956,13.68541717
80,173.1985682,60.33476569,1.15369172,14.48316997,5,1.5,24.68935167,4,24.51480103,WSW,Patchy rain possible,0.01087398,14.6430713
81,173.777331,66.58008422,5.604395991,18.1468135,33,2.260321371,8.29160482,3,17.26381141,S,Overcast,0,12.88413641
82,170.4317153,57.5,0.3,15.44408574,0,1.738201127,12.34612556,4,11.62750955,S,Cloudy,0,11.76968055
83,178.3683768,71.3688318,4.696454951,16.70313618,27,2.095003224,19.11775573,3,39.2,W,Overcast,0.580626692,16.9
84,172.4078843,61.72341319,3.168957204,14.57039418,24,1.954263895,24.95590561,3,18.54869219,S,Clear,0.261408525,10.98924193
85,174.4075736,60.8681398,1.723007365,14.25901323,10,1.726674421,1.81,3,28.46909736,WSW,Cloudy,0,15.24183315
86,173.3643921,59.88424889,4.799799389,15.72173285,32,2.066251948,9.215098799,3,30.46254608,WSW,Overcast,0.190623121,14.86501253
87,174.5515796,65.80221908,4.175431691,16.510999,23,1.89918229,10.96083643,4,26.87041345,WSW,Cloudy,0.16586632,15.40334568
88,172.7482563,60.5519413,5.340909755,19.65580201,30,2.17594439,10.30406426,3,28.51284032,S,Cloudy,0.230263547,14.3429223
89,169.9086957,57.5,2.416435127,19.08292152,21,2.239798571,2.470289329,3,20.47116348,S,Cloudy,0,11.15464786
90,173.9348243,65.70070637,2.880517724,15.25453626,20,1.943477927,24.38673835,3,20.00816527,S,Clear,0.242918407,12.54664798
91,171.1442813,62.07406565,4.918267654,16.40191283,52,2.3,9.755650569,4,33.60513116,S,Cloudy,0.076181104,13.52328204
92,173.8295454,64.99907287,0.3,11.61454177,0,1.5,14.77041484,3,6.1,WSW,Cloudy,0,9.4
93,174.9966302,69.1346656,4.830497751,13.39207624,37,1.944687468,1.81,2,9.380377899,S,Clear,0,9.527837217
94,170.2418732,57.5,1.92746195,19.13807749,5,1.696448285,24.01562762,4,12.37760188,WSW,Patchy rain possible,0.067677949,12.22991035
95,175.5757371,74.03000909,2.797974977,16.09467,17,1.982439987,1.81,2,31.74481483,S,Overcast,0,16.38028791
96,174.2241351,65.36627062,5.616959726,16.65205823,29,1.812419418,1.81,3,30.64276165,WSW,Patchy rain possible,0.389961521,14.47814141
97,170.9767414,61.05281725,2.048248032,13.06638545,10,1.740222221,26.57643082,2,9.04931135,S,Clear,0,9.824073499
98,171.3153157,57.5,3.288623825,20.38024011,32,2.297041033,1.81,5,19.04045781,S,Overcast,0,11.58082843
99,177.5376563,77.60079837,3.516593489,14.46718394,25,1.974167575,8.036336322,2,36.39135449,W,Cloudy,0.303510525,13.657694
100,176.5421773,79.86422222,2.004859828,16.99997059,18,2.142279193,12.02307111,2,9.503714941,S,Cloudy,0,9.882061015
101,169.9,57.5,3.817598099,18.89357095,17,1.719924556,4.356102294,4,8.34138696,S,Clear,0,10.70650613
102,173.6850479,67.97229495,3.383891318,16.77732975,27,1.931296343,9.496108429,4,26.83362889,S,Patchy rain possible,0.340469478,13.77476086
103,170.6363245,57.5,1.936414559,16.43587396,13,1.795364115,7.449794928,4,6.120699016,S,Overcast,0,10.15311913
104,170.8406872,65.85383969,0.558118559,11.66873543,0,1.5,13.1216879,2,8.769112467,S,Patchy rain possible,0,9.456299165
105,169.9,59.61451784,3.0938427,16.75745218,9,1.522352539,26.68994849,4,16.08350184,S,Light drizzle,0.365902296,10.41871926
106,174.5271976,79.77918198,2.673419293,10.9,17,1.635943923,1.81,1,6.1,S,Cloudy,0,9.4
107,178.4957315,72.5860194,3.754452377,16.64591448,36,2.166517526,1.81,3,13.92443004,S,Overcast,0,13.55624603
108,177.1564595,70.56464385,2.420820275,15.33108441,22,1.847489044,11.12006595,4,21.30812389,S,Clear,0.010158755,16.39576381
109,171.6078571,57.5,1.102127655,18.90405398,8,1.812121827,1.81,4,18.61185973,S,Clear,0,12.24629854
110,170.1506561,64.50624496,3.231213423,16.27065666,21,1.926169655,16.14698484,2,6.1,S,Patchy rain possible,0.113880063,9.4
111,174.5584907,57.5,3.804037706,17.51197098,16,1.988690208,22.84514183,4,16.21025834,W,Overcast,0.281839221,13.02448604
112,174.8348861,62.90555205,0.460614591,16.00619348,0,1.634085625,26.48114208,4,8.863766375,SSE,Cloudy,0.223852066,13.09063516
113,174.7209906,72.97138572,3.327526878,14.78630579,15,1.811440087,1.81,2,13.90228501,S,Patchy rain possible,0,11.76726345
114,174.2215162,65.83851903,1.545582003,13.11395425,6,1.629335649,1.81,2,11.41770475,S,Cloudy,0,10.34570963
115,169.9,57.5,4.022792617,15.21691821,21,1.821629759,20.09215554,2,16.83411439,S,Cloudy,0.081745041,10.21760409
116,175.0304186,69.44705651,0.3,13.16863932,0,1.867095294,14.15917126,1,13.2577732,S,Patchy rain possible,0,11.29786005
117,175.7059786,72.22046096,5.021308174,19.88022715,32,2.3,11.19240461,5,33.66101264,S,Cloudy,0.24788807,16.9
118,171.1628819,62.35976662,3.087691246,17.9664944,27,2.278410973,21.36786669,5,34.30367171,S,Clear,0.37640243,15.1241563
119,174.9154267,61.30874193,2.348608275,16.05136885,11,1.813452737,9.550338754,2,19.18888202,S,Cloudy,0,13.28732091
120,171.4768671,59.55822112,3.600076892,14.81556903,1,1.5,25.77827337,5,8.02581227,WSW,Patchy rain possible,0.632158876,10.51175872
121,174.1443589,60.74566397,3.381858188,12.83700656,21,1.828302986,12.73984094,2,22.74966103,SSE,Overcast,0.016760903,13.25502453
122,179.9,87.14265049,0.535022283,12.68519774,6,1.756120254,10.77158922,3,12.39484348,WSW,Patchy rain possible,0,11.72169806
123,172.6703454,57.5,4.299390848,14.54714618,33,2.14859461,2.632435175,2,20.27523514,WSW,Cloudy,0.066271099,12.31430432
124,174.5451305,68.09618569,2.314646788,15.40234412,16,1.966863237,18.00612546,4,32.96826852,WSW,Clear,0.230393217,16.51366346
125,170.6029335,57.5,2.836827597,18.13311042,22,2.3,1.81,3,27.85087342,S,Cloudy,0.043853791,12.11445251
126,170.9981136,61.27288526,3.189416646,17.63743534,22,2.009471321,1.81,3,23.97972956,S,Patchy rain possible,0,13.29959451
127,173.534362,60.22232983,1.289828911,14.84587037,8,1.787094408,10.25216532,2,29.70649187,WSW,Cloudy,0.210652429,13.57117223
128,175.4913904,64.51277893,3.90150131,14.61014875,19,1.681668726,4.759464617,2,6.1,S,Clear,0,11.0971903
129,176.1391622,75.85456592,1.341486488,13.13368074,9,1.669630349,1.81,1,6.1,S,Patchy rain possible,0,9.4
130,177.8798831,73.48651158,3.229659419,14.76891798,22,1.874597273,1.81,3,14.89266239,S,Overcast,0,14.00301968
131,172.7751711,63.57338022,4.316503373,16.71277562,27,1.87116043,2.784780212,4,22.26952549,WSW,Overcast,0,12.85535265
132,174.0367186,66.3892013,2.765709644,13.31570206,18,2.221539874,10.25268918,1,20.13704246,S,Overcast,0,10.97997822
133,174.9751572,62.72183788,3.446233535,16.95945245,28,2.2426382,18.44624266,4,28.52507072,S,Patchy rain possible,0.414560875,15.30071762
134,174.9213981,64.86197997,5.916569679,16.28930845,38,2.131370428,7.685857172,4,18.46972847,S,Patchy rain possible,0.284646783,13.50504911
135,170.3698441,63.56422925,2.518908806,10.9,18,1.632008443,20.88710639,2,12.20114168,S,Partly cloudy,0.236932738,9.4
136,170.902357,61.25936462,1.153386755,15.22101066,2,1.70703189,15.07055599,2,6.1,S,Light drizzle,0,9.4
137,175.1844647,58.96224791,0.432501651,13.29377502,0,1.853440854,28.12647977,2,13.85992042,WSW,Cloudy,0.157800465,11.87790609
138,174.4607207,75.71599235,4.238071828,15.39432802,28,1.978028872,18.16359558,4,29.92118826,S,Light drizzle,0.659450162,14.58954305
139,175.9669555,72.83406604,1.954637977,18.21311992,23,2.014230127,1.81,4,12.35321303,S,Overcast,0,12.50688492
140,169.9,57.5,2.192887482,17.5076201,9,1.710848132,1.81,3,6.1,S,Patchy rain possible,0,9.4
141,173.9459356,57.5,4.373836572,19.34509066,22,2.04318082,18.85248251,5,24.51053017,SSE,Cloudy,0.292613843,14.84810457
142,172.44538,66.36271957,2.576240913,15.34763534,13,1.995119812,17.83049438,3,38.60768581,S,Patchy rain possible,0.424914937,16.6592289
143,175.173509,66.17757514,3.987116284,13.71588782,25,1.813876058,34.08721734,3,25.09561838,W,Clear,0.651465083,14.05273626
144,174.4508794,70.26274341,3.192148679,16.78899474,28,2.244098203,2.374941806,3,22.63517575,S,Cloudy,0,13.29576828
145,171.515861,62.24831965,1.776459467,10.9,0,1.5,20.43897755,2,18.2672758,WSW,Partly cloudy,0.321259244,10.30302508
146,172.8975855,61.23502037,2.532736092,15.04342365,24,1.892880334,13.58745753,2,16.59132263,S,Clear,0,11.70138345
147,174.8267027,71.25700757,5.750536556,16.6769608,35,2.006923426,1.81,3,13.91269973,SSE,Cloudy,0,11.30805059
148,170.2884812,57.5,5.970392702,18.81780445,29,2.016133759,13.71486877,4,16.46246601,S,Clear,0.302532424,14.06342111
149,173.44726,57.99590131,5.215804728,20.09470259,43,2.3,15.75033876,4,30.33727531,WSW,Clear,0.365348386,16.68738311
150,175.2921697,74.33330409,3.6469394,13.74939633,17,1.682451542,12.6544698,2,10.67433547,S,Clear,0.200302205,11.20563309
151,173.7110428,68.61656781,2.959941458,17.4299791,4,1.517221194,25.63347007,5,9.846151098,WSW,Clear,0.278633383,11.7129358
152,176.5930947,74.07849902,0.3,11.15138366,0,1.731133657,11.32543475,1,15.86906074,S,Patchy rain possible,0,12.25454367
153,171.0501722,57.5,2.270853399,19.21760961,9,1.951847883,23.46232972,5,27.41028357,S,Patchy rain possible,0.264238544,15.31162699
154,172.3890178,58.77505197,3.669209073,17.57894758,18,1.640019951,12.82310996,5,6.1,S,Patchy rain possible,0,11.33467855
155,171.2530578,61.60373626,2.450428274,14.68601941,5,1.648175972,1.81,2,6.170480754,S,Clear,0.074522706,9.4
156,178.1555449,74.7971645,4.478798409,15.57975259,33,2.3,12.46703778,3,18.63322652,WSW,Cloudy,0.294795078,13.49980266
157,170.9607364,57.5,3.048558235,16.73988051,17,1.707593283,16.86859909,4,16.54114963,SSE,Patchy rain possible,0.3787819,10.95495833
158,171.8401021,61.4468923,2.166760144,16.39427399,4,1.57177841,18.07516313,4,8.145328116,S,Patchy rain possible,0.046593713,11.29460827
159,176.2904837,66.9071882,3.251345811,17.21625163,11,1.871716325,10.00314768,4,32.61854188,WSW,Clear,0.308775112,16.16412912
160,176.2651123,63.27747446,1.359259366,18.02315257,11,1.842937022,1.81,4,21.86492998,S,Cloudy,0,13.78588728
161,169.9,57.5,2.546133446,15.56705469,11,2.013646599,17.3105752,3,12.86027311,WSW,Clear,0.192602237,10.31228421
162,169.9,57.5,4.599952286,18.1748853,26,1.985761975,14.14200771,4,28.07265624,S,Cloudy,0.009375665,12.19589708
163,175.9157097,74.71583295,5.053125612,18.96875894,32,2.220725807,21.5103869,5,32.99074405,WSW,Cloudy,0.30092875,16.9
164,177.7686667,78.56146284,0.53842073,10.9,2,1.696225695,18.67289764,2,13.87286475,WSW,Patchy rain possible,0.322841887,11.44932469
165,172.8146784,57.5,2.883129929,19.30280008,23,2.134732499,3.788082104,3,29.84068841,WSW,Cloudy,0,13.43618662
166,173.2305313,62.8329011,1.430240343,11.90053322,12,1.800113604,6.469806423,2,9.422897658,S,Patchy rain possible,0,9.4
167,175.9232648,70.35917463,3.062587642,11.3943073,15,1.548994174,1.81,1,18.36039737,WSW,Overcast,0,12.79220851
168,176.1616046,72.51001034,3.462511337,18.67263811,17,1.885699007,9.763456392,5,17.81022253,S,Patchy rain possible,0.165680424,13.74837484
169,176.0141937,73.10714697,2.951150312,11.87220142,15,1.685544331,2.155632884,1,13.33339133,S,Cloudy,0,11.50284111
170,171.3678856,57.5,3.474442005,14.98545491,18,1.829675139,7.850817702,3,25.35095199,S,Cloudy,0.139073071,14.65071088
171,174.8919514,68.64754844,2.277174593,16.71129177,6,1.886493357,8.929359382,4,25.47669165,WSW,Clear,0.099717706,15.69068506
172,171.8094647,57.5,2.086390848,13.22988913,9,1.789610942,5.806175834,2,10.06728325,WSW,Clear,0.112413779,9.4
173,172.2198395,58.58790306,0.3,15.01316259,0,1.665409842,27.21920829,2,25.72305976,S,Patchy rain possible,0.416372373,12.33281402
174,174.7816306,71.45148906,2.880438536,14.11644959,28,2.143719788,23.21824502,2,17.00114008,S,Partly cloudy,0.337929359,11.9975526
175,172.8496377,64.3123155,3.946014098,14.77573004,31,1.998480158,23.69833502,2,33.80656288,WSW,Clear,0.411075911,13.81711322
176,173.111637,62.13835145,0.3,18.33631071,0,1.796127605,12.74464209,4,21.50929772,S,Cloudy,0,12.22250759
177,172.5637463,65.7058122,1.85007256,17.43538852,2,1.642181652,18.06144161,4,18.74178292,S,Patchy rain possible,0.316826213,13.75475522
178,174.0389819,68.11558678,2.605914631,16.06784287,19,1.997329263,12.96975759,3,18.60338976,S,Patchy rain possible,0,12.60994814
179,172.7963536,61.35091833,2.267588783,13.6734734,5,1.577542144,7.347591495,2,20.32133018,S,Cloudy,0.001451725,12.21509954
180,175.1082175,64.61450196,3.615029663,18.68843385,15,1.752934945,11.62331473,5,26.29131235,WSW,Clear,0.132244485,16.82911778
181,177.3927479,73.06019739,2.061622665,16.81103416,15,2.110228906,10.49309241,2,20.40926585,S,Overcast,0,13.14378824
182,174.3221492,64.99515041,1.561856346,15.02682124,13,2.056834642,1.81,1,17.06342576,S,Overcast,0,11.46136079
183,176.4340548,74.52866338,3.137476639,17.34035516,15,2.143633533,13.85641764,4,14.42046353,S,Overcast,0.023572715,12.86901141
184,176.09442,70.80355166,0.867659022,14.3975385,8,1.73877013,17.83906068,2,18.26530167,S,Patchy rain possible,0.257427043,12.86512186
185,178.0866839,78.69898898,1.773226554,15.73430939,14,1.962403967,12.2771229,3,12.97387429,S,Clear,0,12.06374431
186,172.2107918,57.5,5.747667281,20.20496865,43,2.3,4.376337242,5,28.24449794,SSE,Overcast,0,16.77900837
187,172.0861886,70.31274716,0.952715565,12.76165634,3,1.595595555,30.46389182,4,6.1,S,Light drizzle,0.291298782,9.4
188,175.6174066,73.23022487,6.496517066,16.22357016,29,2.001962703,14.02988453,3,13.67008142,WSW,Patchy rain possible,0.46462428,10.39448814
189,172.2676363,59.46214679,5.578107802,17.07346899,37,2.196279882,11.06290197,4,21.05321501,WSW,Clear,0.384381249,14.43117019
190,175.1194935,67.75365225,1.679808218,17.33660142,7,1.686240059,12.58469408,4,6.1,S,Patchy rain possible,0,9.4
191,173.8817313,62.47333737,0.949191773,17.87793797,2,1.847319054,3.090686017,4,6.1,S,Cloudy,0,9.4
192,173.2578444,73.43804327,2.420770811,13.26237822,7,1.649370355,1.81,3,6.206101101,S,Clear,0,9.4
193,174.6067011,58.96736284,1.811692138,14.79946063,20,1.91544057,17.9891371,2,6.1,WSW,Overcast,0,9.943561173
194,170.2784418,57.5,4.289501172,18.57078029,29,2.154543165,17.36230783,5,30.10908979,S,Cloudy,0.339917316,15.29492786
195,175.340792,67.41716693,2.536677064,16.32150504,4,1.900287522,26.27585842,3,6.630086499,WSW,Overcast,0,10.0592132
196,172.7872566,69.94970083,3.631039451,11.37873181,16,1.62353241,13.7987906,2,14.17017857,S,Partly cloudy,0.499229285,10.80838141
197,171.168801,63.51205448,0.582052587,14.21700563,8,1.808816957,11.97771911,2,12.18600269,S,Clear,0,9.4
198,179.7892136,79.94332947,5.659347343,18.77854877,36,2.056034067,9.033897132,5,32.33935757,SSE,Cloudy,0.519000292,16.9
199,174.1137567,65.31087371,3.926103694,15.97365924,24,1.606206897,1.81,4,33.06584643,WSW,Patchy rain possible,0,16.60526424
200,175.7181794,58.70047051,3.072789223,15.83554612,22,2.119895775,3.270549633,3,26.57178807,S,Overcast,0,15.97432496
201,175.7620816,67.68993016,0.985604318,16.75950351,0,1.5,15.86546337,4,13.64740837,SSE,Clear,0.17068457,11.48695739
202,179.2627291,80.13576055,5.415634794,18.34915793,22,1.906224029,25.83495448,5,38.80996645,W,Patchy rain possible,0.836028704,16.9
203,175.7930774,63.3653592,2.725242224,15.73349307,17,1.863529363,16.23131297,3,24.44929321,SSE,Clear,0.089563292,13.38256909
204,177.4284407,79.62778564,4.326216992,16.77059574,26,1.90168229,1.81,3,39.2,WSW,Clear,0.24706744,15.84318091
205,178.050466,64.63412223,3.936611298,17.86673942,28,2.108886282,8.829317895,5,12.8554905,WSW,Overcast,0.127091334,13.75663307
206,177.5040541,74.56332907,1.148822202,15.24893594,10,1.935592571,14.23973188,3,19.63257006,S,Overcast,0,13.46760108
207,174.5916163,67.1726563,4.353813285,16.76330459,27,2.193033924,18.07831945,3,26.8176007,S,Light drizzle,0.382513861,15.34128433
208,179.9,80.51263419,2.301246529,12.62912503,11,1.732461992,6.867096837,3,6.1,WSW,Overcast,0,10.00713483
209,175.3380799,69.16806623,3.220891908,20.60806781,26,2.10970043,4.736256765,5,17.23756783,S,Clear,0,14.16876679
